country,major_area,region,year 2017,year 2018,year 2019,year 2020,year 2021,year 2022,year 2023,year 2024,change_2017_24,change_21_22
Australia,Oceania,Australia and New Zealand,25.52,32.25,41.31,54.55,85.57,52.62,54.08,71.87,181.6,-38.51
New Zealand,Oceania,Australia and New Zealand,64.32,81.85,101.31,129.97,164.16,133.44,167.56,178.80,437.7,55.62
